source_deposit,LABEL,LONGITUDE,LATITUDE,SOURCE,PROVINCEID,OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES,gravity_iso_residual,gravity_cscba,gravity_cscba_1vd
Barrabas Creek,1,146.78439062684953,-20.1044110831142,positive,,,,,,306.03900146484375,108.78458,-1674.328
,0,134.44384766688756,-22.454113155958336,blank_area,GA.GeologicProvince.467256,,,,,209.20156860351562,-258.987,367.7455
Bodangora,1,149.0345393586408,-32.464655831296575,positive,,,,,,45.364402770996094,-344.07898,-4967.3413
GRP314,1,148.08613835655632,-32.93266224160341,positive,,,,,,126.0411148071289,-150.14789,-1755.1644
,0,143.6664,-36.21000000000005,other_deposit,,Woolshed Swamp,mineral deposit,VIC,"Ilmenite, Leucoxene, Monazite, Rutile, Xenotime, Zircon",67.80866241455078,-52.915997,-677.5093
Coalstoun,1,151.86396101749526,-25.59128548256652,positive,,,,,,447.4386901855469,263.21814,623.68427
,0,150.0474,-26.259600000000045,other_deposit,,JUANDAH CREEK,OPERATING MINE,QLD,Sand - undifferentiated,25.824731826782227,-252.3716,-266.24875
,0,140.132,-34.85960000000004,other_deposit,,HALIDON,deposit,SA,Heavy minerals,-91.0389404296875,-163.00516,-323.32248
Cargo,1,148.7887860108328,-33.42790468422177,positive,,,,,,259.712158203125,-203.22617,-464.28433
,0,128.71429603487093,-27.358157804127828,blank_area,GA.GeologicProvince.22115,,,,,-700.7326049804688,-1075.5509,-1591.0671
,0,141.71909576004825,-27.59791696063474,blank_area,GA.GeologicProvince.529302,,,,,-49.61571502685547,-132.23047,-45.23432
,0,143.1397721901571,-27.42939281526376,blank_area,GA.GeologicProvince.20489,,,,,5.361420631408691,-122.35057,528.1652
,0,139.8123922029359,-23.4262981999928,blank_area,GA.GeologicProvince.559196,,,,,255.90333557128906,146.83292,-180.22063
,0,127.2865626609052,-24.573728063135142,blank_area,GA.GeologicProvince.466901,,,,,-331.7349853515625,-700.99335,605.7258
,0,123.87147971935326,-25.51232983238672,blank_area,GA.GeologicProvince.468269,,,,,-286.3229064941406,-675.2446,61.002747
Copper Hills,1,119.96482895169508,-21.6824734952909,positive,,,,,,-51.80674743652344,-343.7999,242.89238
,0,144.68837883190037,-34.028625272064744,blank_area,GA.GeologicProvince.530359,,,,,8.556702613830566,-69.34379,313.96765
,0,115.74750000000002,-33.24549999999998,other_deposit,,Stanley Road Lot 335 Wellesley / Carbone,mineral deposit,WA,Sand - undifferentiated,-622.5061645507812,-697.5109,-4632.212
,0,122.50284822542363,-22.0868398561966,blank_area,GA.GeologicProvince.468269,,,,,429.1308288574219,157.96127,3240.7969
,0,145.454,-42.33479999999997,other_deposit,,Unnamed,deposit,TAS,Coal - brown,,2.1518977,-2088.8452
,0,140.2329,-31.958700000000004,other_deposit,,BIG BIMBA,MINE,SA,"Feldspar, Beryllium",-2.316354751586914,-177.03351,-1279.2113
,0,143.82448579887938,-19.163287503076525,blank_area,GA.GeologicProvince.20437,,,,,413.9691162109375,-70.66883,353.14847
,0,139.831683345169,-28.664157482857025,blank_area,GA.GeologicProvince.20489,,,,,-142.73826599121094,-169.4447,193.04124
,0,120.1582,-23.38220000000001,other_deposit,,Wheelarra 6,Mine - Openpit,WA,Iron,-290.9071960449219,-778.1151,-891.5555
,0,123.6319,-17.706299999999928,other_deposit,,Fitzroy River Sand 1 / Holcim,Mine - Openpit,WA,Sand - undifferentiated,176.55181884765625,126.57291,-509.9413
,0,121.1788,-30.153500000000022,other_deposit,,Big Four - KNP,mineral deposit,WA,"Scandium, Nickel, Cobalt, Manganese",-207.29737854003906,-571.5247,3841.4968
Endeavour E-31N,1,148.0643842649065,-32.932207150080885,positive,,,,,,99.81333923339844,-187.59511,-4326.254
,0,146.31784303278258,-22.91437266935328,blank_area,GA.GeologicProvince.559189,,,,,298.28375244140625,14.577288,997.16254
Greenvale Project (Cockie Creek deposit),1,144.76415838237114,-19.08510583893861,positive,,,,,,585.0074462890625,97.84178,-1040.4785
Mag H1,1,147.44688852372622,-34.3153356051974,positive,,,,,,247.25698852539062,3.856413,1641.9564
,0,130.84014364881023,-23.47191888148673,blank_area,GA.GeologicProvince.364772,,,,,-717.2650146484375,-1238.3594,-3141.017
Sunday Creek,1,148.48897273258217,-37.52373932802181,positive,,,,,,223.1099090576172,-51.6085,547.6223
,0,137.7501,-32.329799999999985,other_deposit,,ARNOLD BANK,MINE,SA,Gypsum,-139.7941131591797,-284.06973,-1500.6317
,0,140.8649771547654,-26.07139623118523,blank_area,GA.GeologicProvince.529551,,,,,-128.12567138671875,-217.02356,-1041.8132
,0,136.0451169207194,-26.16445522867321,blank_area,GA.GeologicProvince.529801,,,,,-33.755043029785156,-120.130066,637.93896
,0,115.9217,-34.22009999999998,other_deposit,,BFM1099,mineral deposit,WA,Graphite,230.59323120117188,155.34859,1500.2252
Barrabas Creek,1,146.78618154047462,-20.110780917758643,positive,,,,,,306.03900146484375,104.32738,-1646.1824
Endeavour 43 (E43),1,147.5213107332719,-33.73594497462645,positive,,,,,,162.13902282714844,-73.42508,-357.617
,0,115.211,-22.42499999999998,other_deposit,,North Wing - Manyingee East,mineral deposit,WA,"Uranium oxide, Uranium",34.386077880859375,-36.928093,-1783.3589
,0,128.15449140722637,-26.31353198511976,blank_area,GA.GeologicProvince.467262,,,,,-86.25830078125,-529.5898,-3058.159
,0,145.52704544565808,-20.84751571815561,blank_area,GA.GeologicProvince.20489,,,,,230.29164123535156,-97.83344,-1057.9799
Calliope,1,151.26424507143415,-24.009887178143533,positive,,,,,,286.0442810058594,199.91449,-508.47107
,0,132.47456310493885,-25.284678323704306,blank_area,GA.GeologicProvince.467256,,,,,-443.7311096191406,-877.5823,-0.69115347
